Date,Week,Location,Total Vaccines Given,Total J&J Vaccines,Total Moderna Vaccines,Total Pfizer Vaccines,second_booster_janssen,second_booster_moderna,second_booster_pfizer,Total Booster Given 18+,Total Booster Given 18+ %,Total Booster Given 65+,Total Booster Given 65+ %
05-10-2023,19,NE,5481710,152400,1647380,2905630,131,107459,217348,319161,0.2189999999999999,151146,0.484
05-10-2023,19,LA,10282120,330500,3807980,5164550,180,160184,215901,349934,0.098,184844,0.249
05-10-2023,19,GA,28727475,869100,9763000,14773655,481,411155,541245,1067468,0.132,476297,0.314
05-10-2023,19,WY,1281755,49300,490040,585605,28,25485,33167,63244,0.142,34832,0.351
05-10-2023,19,CO,17769135,501900,5402640,9029715,471,421377,733256,1176686,0.262,462990,0.55
05-10-2023,19,PA,42895735,1569200,13941120,21178525,528,747147,1064217,2271654,0.223,1105455,0.462
05-10-2023,19,DE,3352025,102600,1071000,1651775,92,67064,95415,196313,0.255,101880,0.539
05-10-2023,19,OR,14222125,466700,4482360,7060535,355,320112,560022,874306,0.261,371182,0.485
05-10-2023,19,WI,16474175,457200,5144600,8183105,257,475559,757859,1251270,0.275,600688,0.591
05-10-2023,19,ND,1910860,53600,600920,990720,7,28353,62888,112872,0.1939999999999999,56881,0.475
05-10-2023,19,TX,80813315,2667600,25478340,43584365,115,1225950,1511606,3085576,0.143,1282757,0.344
05-10-2023,19,MN,18519240,511500,5378420,9468070,337,476621,910419,1393606,0.321,597554,0.649
05-10-2023,19,UT,8421900,257900,2420360,4652010,360,126383,290081,422005,0.186,164098,0.449
05-10-2023,19,SC,14205395,466400,5125140,6858095,265,231337,286267,579190,0.143,326065,0.348
05-10-2023,19,DC,2761525,73200,795480,1425045,95,60941,87130,210681,0.365,50711,0.581
05-10-2023,19,NC,30278310,959600,9753880,15371580,218,300737,382304,1468583,0.179,692266,0.395
05-10-2023,19,WA,25606455,777800,7783800,12807915,791,662109,1076192,1828199,0.307,720971,0.596
05-10-2023,19,SD,2713025,94000,882400,1326385,27,41342,65661,146797,0.22,75318,0.496
05-10-2023,19,PR,8842720,216600,2843120,5014090,252,187732,250975,326906,0.125,165792,0.244
05-10-2023,19,RI,3531485,90600,1154400,1754745,178,101978,127639,258452,0.302,112605,0.602
05-10-2023,19,IA,9429185,293100,3077920,4577895,110,224095,356159,599083,0.247,308886,0.5589999999999999
05-10-2023,19,FM,291840,12800,127940,115460,4,5951,9804,12026,0.18,1139,0.237
05-10-2023,19,PW,52580,3800,30900,14390,0,1739,678,1831,0.11,311,0.156
05-10-2023,19,NV,7722770,260400,2313400,4208770,57,130417,195351,386509,0.162,185325,0.374
05-10-2023,19,KY,12200975,395600,4310000,5909535,321,215871,295472,540346,0.156,276605,0.369
05-10-2023,19,VI,173300,3400,44240,115760,1,905,1260,4163,0.051,2370,0.1159999999999999
05-10-2023,19,WV,5515855,172600,1967420,2696125,79,92252,111721,204380,0.143,115583,0.315
05-10-2023,19,VA2,9888200,626900,4250780,3780780,58,301964,279337,883903,0.0,572429,0.0
05-10-2023,19,ME,4981040,159400,1595120,2361030,123,143731,212852,395753,0.361,203204,0.7120000000000001
05-10-2023,19,ID,4751720,160200,1604380,2346190,102,89372,127400,236353,0.177,122934,0.423
05-10-2023,19,BP2,421090,16200,172520,199110,3,2634,6157,9775,0.0,677,0.0
05-10-2023,19,MP,152250,3700,28020,108950,1,548,3646,4180,0.1159999999999999,821,0.2189999999999999
05-10-2023,19,US,984444295,31552000,313437660,505345015,23997,20172044,28600698,52996306,0.205,23699191,0.433
05-10-2023,19,IH2,4122405,111800,1529280,1950935,22,49118,67557,155957,0.0,47681,0.0
05-10-2023,19,MS,7252325,235400,2600260,3695395,160,103195,113062,196419,0.086,111149,0.228
05-10-2023,19,IL,38328915,1185600,11169140,19851535,1282,920813,1460879,2397509,0.243,1015847,0.497
05-10-2023,19,KS,8356725,262700,2757140,4161795,263,153400,237957,433925,0.196,213868,0.45
05-10-2023,19,MH,162240,12800,74500,53540,0,3258,1668,4793,0.1009999999999999,375,0.1
05-10-2023,19,FL,61526685,2477700,20028720,31997745,2469,1110763,1317238,2447806,0.142,1402788,0.312
05-10-2023,19,MO,15654225,441000,5140460,7967645,234,296414,447332,867125,0.182,437570,0.412
05-10-2023,19,GU,387180,25100,99980,232940,7,8142,11941,16807,0.147,4534,0.282
05-10-2023,19,VT,2588940,74200,831220,1244690,72,63130,119979,196740,0.386,86640,0.693
05-10-2023,19,CT,11881825,355100,3940280,5856215,121,312125,395095,860108,0.303,386369,0.613
05-10-2023,19,OH,31703485,1014000,10088440,16355895,1167,717338,1117483,1794636,0.1969999999999999,896254,0.4379999999999999
05-10-2023,19,NJ,29637655,1015900,9139940,15503585,938,550830,732698,1434973,0.207,607360,0.412
05-10-2023,19,DD2,7782150,210800,2346340,4629770,123,53577,125274,180910,0.0,35868,0.0
05-10-2023,19,TN,17172490,533400,5670340,8759050,786,303324,419070,693621,0.13,357735,0.313
05-10-2023,19,CA,121107865,3785200,37596780,63095065,2723,3183684,4236863,7555616,0.247,2821306,0.483
05-10-2023,19,MT,2714785,106500,952100,1267535,133,63035,88677,163903,0.195,86927,0.421
05-10-2023,19,IN,18989660,634000,5571300,10052520,526,270072,466906,716361,0.139,364685,0.336
05-10-2023,19,NY,61302975,1964500,18769880,32657655,2064,1153371,1624240,3256415,0.211,1408987,0.427
05-10-2023,19,AL,12349530,402500,4797960,5848060,348,166683,180255,366925,0.096,202699,0.239
05-10-2023,19,VA,26823665,803400,8071900,14050785,940,615868,909811,1669370,0.25,695737,0.512
05-10-2023,19,MD,22359840,616400,6422360,11814000,864,530058,781643,1363452,0.289,544230,0.5670000000000001
05-10-2023,19,AR,8373210,265400,3075220,4016440,125,140035,153618,317694,0.1369999999999999,174653,0.3329999999999999
05-10-2023,19,HI,4677910,124900,1504020,2369320,123,146921,163997,303566,0.272,142548,0.531
05-10-2023,19,OK,9702330,342300,3591280,4611140,184,163086,205353,459985,0.153,240935,0.379
05-10-2023,19,NH,5121800,189000,1454740,2624840,88,73544,161633,307435,0.278,149093,0.5870000000000001
05-10-2023,19,AZ,19959120,621000,6493460,10188940,1244,420535,591401,1074856,0.191,523583,0.4
05-10-2023,19,MI,29638290,967800,9925120,14452250,520,701952,953942,1704974,0.217,833254,0.472
05-10-2023,19,AS,128480,600,25000,100770,0,532,1917,568,0.018,199,0.061
05-10-2023,19,AK,2176065,86200,718520,1079425,64,41559,53932,95906,0.174,39311,0.429
05-10-2023,19,MA,23747420,633500,7490080,11662830,285,673281,810884,1958126,0.353,760442,0.65
05-10-2023,19,NM,6176205,190600,2020200,3002385,286,163309,211991,437622,0.27,201311,0.5329999999999999
05-03-2023,18,DC,2750955,73200,795480,1425045,95,60889,87030,210216,0.364,50426,0.5770000000000001
05-03-2023,18,CA,120813275,3785200,37596780,63095065,2722,3177416,4227135,7519825,0.246,2807748,0.481
05-03-2023,18,NM,6161655,190600,2020200,3002385,285,163089,211618,434448,0.268,199000,0.527
05-03-2023,18,TN,17138600,533400,5670340,8759050,786,302916,418424,689304,0.13,354912,0.31
05-03-2023,18,MO,15623555,441000,5140460,7967645,234,295917,446474,861538,0.181,433891,0.409
05-03-2023,18,OR,14189365,466700,4482360,7060535,355,319516,558480,869364,0.259,368385,0.481
05-03-2023,18,NY,61173695,1964500,18769880,32657655,2063,1151258,1620680,3235204,0.21,1394206,0.423
05-03-2023,18,NE,5470070,152400,1647380,2905630,131,107346,216945,317448,0.218,150171,0.481
05-03-2023,18,AZ,19916930,621000,6493320,10188940,1243,419761,590201,1064655,0.1889999999999999,517276,0.395
05-03-2023,18,FM,291840,12800,127940,115460,4,5951,9803,12025,0.18,1138,0.236
05-03-2023,18,PW,52580,3800,30900,14390,0,1739,678,1831,0.11,311,0.156
05-03-2023,18,MD,22298750,616400,6422360,11814000,863,529288,780229,1353317,0.287,536916,0.56
05-03-2023,18,IH2,4116535,111800,1529280,1950935,22,48978,67282,154819,0.0,47297,0.0
05-03-2023,18,KY,12177065,395600,4310000,5909535,321,215613,294957,537100,0.155,274783,0.366
05-03-2023,18,GU,386180,25100,99980,232940,7,8117,11868,16527,0.144,4449,0.2769999999999999
05-03-2023,18,CT,11857995,355100,3940280,5856215,121,311765,394516,854536,0.301,382266,0.607
05-03-2023,18,OH,31626655,1014000,10088440,16355895,1158,716473,1115673,1783759,0.196,889073,0.434
05-03-2023,18,MT,2710705,106500,952100,1267535,133,63014,88672,163776,0.195,86844,0.421
05-03-2023,18,MP,152250,3700,28020,108950,1,547,3627,4120,0.114,813,0.217
05-03-2023,18,AR,8357480,265400,3075220,4016440,125,139807,153340,316394,0.1369999999999999,174007,0.332
05-03-2023,18,IL,38232065,1185600,11169140,19851535,1279,919421,1458191,2389276,0.242,1012524,0.496
05-03-2023,18,NC,30225790,959600,9753880,15371580,218,299440,380222,1460232,0.178,686300,0.392
05-03-2023,18,WI,16436825,457200,5144600,8183105,257,474960,756323,1243396,0.273,595521,0.585
05-03-2023,18,US,982117925,31552000,313437520,505344115,23970,20134149,28536343,52643100,0.204,23494228,0.429
05-03-2023,18,VA,26760935,803400,8071900,14050485,939,614312,906747,1659738,0.249,691481,0.509
05-03-2023,18,PA,42794625,1569200,13941120,21178525,527,745702,1061974,2261599,0.222,1100438,0.46
05-03-2023,18,OK,9679390,342300,3591280,4611140,184,162659,204890,457031,0.152,239047,0.376
05-03-2023,18,MS,7238025,235400,2600260,3695395,160,102906,112702,193942,0.085,109896,0.226
05-03-2023,18,SC,14167805,466400,5125140,6858095,265,230751,285752,576840,0.143,324837,0.347
05-03-2023,18,MH,162240,12800,74500,53540,0,3258,1668,4792,0.1009999999999999,374,0.1
05-03-2023,18,UT,8412360,257900,2420360,4652010,360,126376,290068,421885,0.185,164029,0.4479999999999999
05-03-2023,18,IA,9375425,293100,3077920,4577895,110,223848,355675,596491,0.246,307232,0.556
