Country,ISO_Code,Date,Total_Vaccinations,People_Vaccinated,Daily_Vaccinations
Afghanistan,AFG,2021-02-22,0.0,0.0,7343.0
Afghanistan,AFG,2021-02-23,0.0,0.0,1367.0
Afghanistan,AFG,2021-02-24,0.0,0.0,1367.0
Afghanistan,AFG,2021-02-25,0.0,0.0,1367.0
Afghanistan,AFG,2021-02-26,0.0,0.0,1367.0
Afghanistan,AFG,2021-02-27,0.0,0.0,1367.0
Afghanistan,AFG,2021-02-28,8200.0,8200.0,1367.0
Afghanistan,AFG,2021-03-01,0.0,0.0,1580.0
Afghanistan,AFG,2021-03-02,0.0,0.0,1794.0
Afghanistan,AFG,2021-03-03,0.0,0.0,2008.0
Afghanistan,AFG,2021-03-04,0.0,0.0,2221.0
Afghanistan,AFG,2021-03-05,0.0,0.0,2435.0
Afghanistan,AFG,2021-03-06,0.0,0.0,2649.0
Afghanistan,AFG,2021-03-07,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-08,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-09,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-10,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-11,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-12,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-13,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-14,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-15,0.0,0.0,2862.0
Afghanistan,AFG,2021-03-16,54000.0,54000.0,2862.0
Afghanistan,AFG,2021-03-17,0.0,0.0,2882.0
Afghanistan,AFG,2021-03-18,0.0,0.0,2902.0
Afghanistan,AFG,2021-03-19,0.0,0.0,2921.0
Afghanistan,AFG,2021-03-20,0.0,0.0,2941.0
Afghanistan,AFG,2021-03-21,0.0,0.0,2961.0
Afghanistan,AFG,2021-03-22,0.0,0.0,2980.0
Afghanistan,AFG,2021-03-23,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-24,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-25,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-26,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-27,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-28,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-29,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-30,0.0,0.0,3000.0
Afghanistan,AFG,2021-03-31,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-01,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-02,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-03,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-04,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-05,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-06,0.0,0.0,3000.0
Afghanistan,AFG,2021-04-07,120000.0,120000.0,3000.0
Afghanistan,AFG,2021-04-08,0.0,0.0,3714.0
Afghanistan,AFG,2021-04-09,0.0,0.0,4429.0
Afghanistan,AFG,2021-04-10,0.0,0.0,5143.0
Afghanistan,AFG,2021-04-11,0.0,0.0,5857.0
Afghanistan,AFG,2021-04-12,0.0,0.0,6571.0
Afghanistan,AFG,2021-04-13,0.0,0.0,7286.0
Afghanistan,AFG,2021-04-14,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-15,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-16,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-17,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-18,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-19,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-20,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-21,0.0,0.0,8000.0
Afghanistan,AFG,2021-04-22,240000.0,240000.0,8000.0
Afghanistan,AFG,2021-04-23,0.0,0.0,8846.0
Afghanistan,AFG,2021-04-24,0.0,0.0,9692.0
Afghanistan,AFG,2021-04-25,0.0,0.0,10538.0
Afghanistan,AFG,2021-04-26,0.0,0.0,11384.0
Afghanistan,AFG,2021-04-27,0.0,0.0,12229.0
Afghanistan,AFG,2021-04-28,0.0,0.0,13075.0
Afghanistan,AFG,2021-04-29,0.0,0.0,13921.0
Afghanistan,AFG,2021-04-30,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-01,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-02,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-03,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-04,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-05,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-06,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-07,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-08,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-09,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-10,0.0,0.0,13921.0
Afghanistan,AFG,2021-05-11,504502.0,448878.0,13921.0
Afghanistan,AFG,2021-05-12,0.0,0.0,12621.0
Afghanistan,AFG,2021-05-13,0.0,0.0,11321.0
Afghanistan,AFG,2021-05-14,0.0,0.0,10022.0
Afghanistan,AFG,2021-05-15,0.0,0.0,8722.0
Afghanistan,AFG,2021-05-16,0.0,0.0,7422.0
Afghanistan,AFG,2021-05-17,0.0,0.0,6122.0
Afghanistan,AFG,2021-05-18,0.0,0.0,4822.0
Afghanistan,AFG,2021-05-19,0.0,0.0,4822.0
Afghanistan,AFG,2021-05-20,547901.0,470341.0,4822.0
Afghanistan,AFG,2021-05-21,0.0,0.0,5040.0
Afghanistan,AFG,2021-05-22,0.0,0.0,5257.0
Afghanistan,AFG,2021-05-23,0.0,0.0,5474.0
Afghanistan,AFG,2021-05-24,573277.0,476367.0,5692.0
Afghanistan,AFG,2021-05-25,0.0,0.0,6230.0
Afghanistan,AFG,2021-05-26,590454.0,479372.0,6768.0
Afghanistan,AFG,2021-05-27,593313.0,479574.0,6487.0
Afghanistan,AFG,2021-05-28,0.0,0.0,5907.0
Afghanistan,AFG,2021-05-29,0.0,0.0,5326.0
Afghanistan,AFG,2021-05-30,600152.0,480226.0,4746.0
Afghanistan,AFG,2021-05-31,0.0,0.0,5084.0
Afghanistan,AFG,2021-06-01,0.0,0.0,5102.0
Afghanistan,AFG,2021-06-02,626290.0,481690.0,5119.0
Afghanistan,AFG,2021-06-03,630305.0,481800.0,5285.0
Afghanistan,AFG,2021-06-04,0.0,0.0,5273.0
Afghanistan,AFG,2021-06-05,0.0,0.0,5261.0
Afghanistan,AFG,2021-06-06,0.0,0.0,5250.0
Afghanistan,AFG,2021-06-07,0.0,0.0,4319.0
Afghanistan,AFG,2021-06-08,641295.0,482952.0,3388.0
Afghanistan,AFG,2021-06-09,0.0,0.0,2637.0
Afghanistan,AFG,2021-06-10,0.0,0.0,2556.0
Afghanistan,AFG,2021-06-11,0.0,0.0,2735.0
Afghanistan,AFG,2021-06-12,0.0,0.0,2914.0
Afghanistan,AFG,2021-06-13,0.0,0.0,3093.0
Afghanistan,AFG,2021-06-14,662003.0,484737.0,3272.0
Afghanistan,AFG,2021-06-15,0.0,0.0,4813.0
Afghanistan,AFG,2021-06-16,0.0,0.0,6175.0
Afghanistan,AFG,2021-06-17,0.0,0.0,7538.0
Afghanistan,AFG,2021-06-18,0.0,0.0,8900.0
Afghanistan,AFG,2021-06-19,0.0,0.0,10262.0
Afghanistan,AFG,2021-06-20,0.0,0.0,11624.0
Afghanistan,AFG,2021-06-21,0.0,0.0,12986.0
Afghanistan,AFG,2021-06-22,765890.0,582128.0,12986.0
Afghanistan,AFG,2021-06-23,0.0,0.0,13125.0
Afghanistan,AFG,2021-06-24,0.0,0.0,13264.0
Afghanistan,AFG,2021-06-25,0.0,0.0,13404.0
Afghanistan,AFG,2021-06-26,0.0,0.0,13543.0
Afghanistan,AFG,2021-06-27,835694.0,649434.0,13682.0
Afghanistan,AFG,2021-06-28,0.0,0.0,14263.0
Afghanistan,AFG,2021-06-29,0.0,0.0,14844.0
Afghanistan,AFG,2021-06-30,886854.0,699200.0,15286.0
Afghanistan,AFG,2021-07-01,0.0,0.0,14115.0
Afghanistan,AFG,2021-07-02,0.0,0.0,12944.0
Afghanistan,AFG,2021-07-03,0.0,0.0,11773.0
Afghanistan,AFG,2021-07-04,0.0,0.0,10602.0
Afghanistan,AFG,2021-07-05,915671.0,726349.0,8989.0
Afghanistan,AFG,2021-07-06,0.0,0.0,7895.0
Afghanistan,AFG,2021-07-07,934463.0,735213.0,6801.0
Afghanistan,AFG,2021-07-08,0.0,0.0,6965.0
Afghanistan,AFG,2021-07-09,0.0,0.0,7128.0
Afghanistan,AFG,2021-07-10,0.0,0.0,7292.0
Afghanistan,AFG,2021-07-11,962093.0,742934.0,7455.0
Afghanistan,AFG,2021-07-12,0.0,0.0,9588.0
Afghanistan,AFG,2021-07-13,0.0,0.0,11201.0
Afghanistan,AFG,2021-07-14,1024168.0,0.0,12815.0
Afghanistan,AFG,2021-07-15,0.0,0.0,14331.0
Afghanistan,AFG,2021-07-16,0.0,0.0,15848.0
Afghanistan,AFG,2021-07-17,0.0,0.0,17364.0
Afghanistan,AFG,2021-07-18,1094257.0,0.0,18881.0
Afghanistan,AFG,2021-07-19,0.0,0.0,17753.0
Afghanistan,AFG,2021-07-20,0.0,0.0,16626.0
Afghanistan,AFG,2021-07-21,0.0,0.0,15499.0
Afghanistan,AFG,2021-07-22,0.0,0.0,14824.0
Afghanistan,AFG,2021-07-23,0.0,0.0,14150.0
Afghanistan,AFG,2021-07-24,1171064.0,0.0,13476.0
Afghanistan,AFG,2021-07-25,0.0,0.0,11132.0
Afghanistan,AFG,2021-07-26,0.0,0.0,9464.0
Afghanistan,AFG,2021-07-27,0.0,0.0,7795.0
Afghanistan,AFG,2021-07-28,0.0,0.0,6126.0
Afghanistan,AFG,2021-07-29,0.0,0.0,4457.0
Afghanistan,AFG,2021-07-30,0.0,0.0,2788.0
Afghanistan,AFG,2021-07-31,0.0,0.0,1119.0
Afghanistan,AFG,2021-08-01,0.0,0.0,1119.0
Afghanistan,AFG,2021-08-02,0.0,0.0,1119.0
