Location,ISO Code,Date,Total Vaccinations,People Vaccinated,People Fully Vaccinated,total_boosters,Daily Vaccinations (Raw),Daily Vaccinations,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,Daily Vaccinations Per Million,daily_people_vaccinated
Afghanistan,AFG,2023-04-25,16847327.0,14735342.0,14021488.0,1077577.0,3316.0,2936.0,40.96,35.83,71.0,2278.0
Africa,OWID_AFR,2021-10-28,189809912.0,118429867.0,76360930.0,28870.0,1607279.0,1713227.0,13.3,8.3,1201.0,976617.0
Africa,OWID_AFR,2021-10-29,193296330.0,120094541.0,79415052.0,32750.0,1793119.0,1727218.0,13.55,8.42,1211.0,972462.0
Africa,OWID_AFR,2021-10-30,194361624.0,120630098.0,80078265.0,71510.0,1674945.0,1750228.0,13.62,8.45,1227.0,979194.0
Africa,OWID_AFR,2021-10-31,196480876.0,122001362.0,80759982.0,71510.0,1464629.0,1752229.0,13.77,8.55,1228.0,996695.0
Africa,OWID_AFR,2021-11-01,197837482.0,122691032.0,81432762.0,124228.0,1439763.0,1668533.0,13.87,8.6,1169.0,968578.0
Africa,OWID_AFR,2021-11-02,199146273.0,123401709.0,82036961.0,142786.0,1387041.0,1574196.0,13.96,8.65,1103.0,938824.0
Africa,OWID_AFR,2021-11-03,199647730.0,123704323.0,82251189.0,153756.0,1358960.0,1532248.0,13.99,8.67,1074.0,934952.0
Africa,OWID_AFR,2021-11-04,202346669.0,125649818.0,83140534.0,163744.0,1385568.0,1500575.0,14.18,8.81,1052.0,933366.0
Africa,OWID_AFR,2021-11-05,202620703.0,125793512.0,83267105.0,173532.0,1391385.0,1443183.0,14.2,8.82,1012.0,909486.0
Africa,OWID_AFR,2021-11-06,204717964.0,126953294.0,84214931.0,179218.0,1270730.0,1385441.0,14.35,8.9,971.0,883081.0
Africa,OWID_AFR,2021-11-07,205527932.0,127479738.0,84450098.0,189449.0,1726702.0,1422880.0,14.41,8.94,997.0,898190.0
Africa,OWID_AFR,2021-11-08,206026136.0,127764408.0,84737553.0,202552.0,1782142.0,1471791.0,14.44,8.96,1032.0,943520.0
Africa,OWID_AFR,2021-11-09,206476148.0,127986876.0,85001246.0,213310.0,1825147.0,1534378.0,14.47,8.97,1075.0,991503.0
Africa,OWID_AFR,2021-11-10,212163314.0,131593036.0,87156623.0,223337.0,1859022.0,1605812.0,14.87,9.22,1126.0,1034186.0
Africa,OWID_AFR,2021-11-11,213405327.0,133039867.0,87694758.0,233093.0,1815832.0,1667279.0,14.96,9.32,1169.0,1089711.0
Africa,OWID_AFR,2021-11-12,213812455.0,133275680.0,87951583.0,243348.0,1548824.0,1689768.0,14.99,9.34,1184.0,1088776.0
Africa,OWID_AFR,2021-11-13,215510097.0,134254729.0,88888615.0,256524.0,1492667.0,1721477.0,15.11,9.41,1207.0,1092084.0
Africa,OWID_AFR,2021-11-14,216483974.0,134730525.0,89484284.0,263155.0,1345703.0,1667050.0,15.17,9.44,1168.0,1071091.0
Africa,OWID_AFR,2021-11-15,217665658.0,135238070.0,90176574.0,272326.0,1489742.0,1625275.0,15.26,9.48,1139.0,1044085.0
Africa,OWID_AFR,2021-11-16,217925557.0,135397014.0,90296494.0,280269.0,1465159.0,1573849.0,15.27,9.49,1103.0,1025457.0
Africa,OWID_AFR,2021-11-17,218681637.0,135824686.0,90850589.0,290842.0,1495602.0,1521932.0,15.33,9.52,1067.0,1007170.0
Africa,OWID_AFR,2021-11-18,221670670.0,137847964.0,92212651.0,295394.0,1405108.0,1463259.0,15.54,9.66,1026.0,971762.0
Africa,OWID_AFR,2021-11-19,221958829.0,138010888.0,92314452.0,301875.0,1575854.0,1467122.0,15.56,9.67,1028.0,989135.0
Africa,OWID_AFR,2021-11-20,224423425.0,140193207.0,92669053.0,305078.0,1667917.0,1492157.0,15.73,9.83,1046.0,1028307.0
Africa,OWID_AFR,2021-11-21,226256507.0,141200922.0,93623797.0,318245.0,1796069.0,1556493.0,15.86,9.9,1091.0,1061406.0
Africa,OWID_AFR,2021-11-22,227673638.0,142014066.0,94505635.0,337494.0,1927357.0,1619013.0,15.96,9.95,1135.0,1114999.0
Africa,OWID_AFR,2021-11-23,228698706.0,142895278.0,94827029.0,350256.0,2043682.0,1701656.0,16.03,10.02,1193.0,1176395.0
Africa,OWID_AFR,2021-11-24,231376078.0,144818452.0,95860426.0,356468.0,2211846.0,1803977.0,16.22,10.15,1264.0,1282565.0
